Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar radiation,Next_Tmax
27.6,23.1,39.54819107,95.04219055,28.96778898,21.17716345,5.688958893,75.63331973,0.160828505,0.057036299000000006,0.02256201,0.035465029,0.0,0.0,0.0,0.0,37.4562,126.955,208.507,5.1782,4615.589355,31.1
27.2,21.6,82.77246094,92.66938019,23.36699382,19.88250281,10.51718448,55.34851209,0.739398948,0.8114078090000001,0.617454449,0.36077711799999995,0.293748603,6.382792791,1.633844751,0.45206233100000004,37.4697,126.995,82.2912,2.2579,5697.509765999999,22.0
27.4,21.3,38.35753632,91.23594666,31.99767028,21.20845516,5.455236003,37.53840216,0.060872512999999996,0.036345838,0.058566995,0.018064765,0.0,0.0,0.0,0.0,37.5237,126.90899999999999,17.2956,0.2223,5517.208008,31.2
23.0,20.4,58.72008896,96.65821838,28.07855279,20.11933866,4.306388333,109.7597475,0.35018093299999997,0.245562941,0.142930081,0.004446017,0.000554598,0.0,0.0,0.0,37.6181,127.09899999999999,53.4712,0.6970000000000001,5684.806640999999,28.1
32.2,23.7,53.6600914,88.48361969,32.36822096,24.84295096,5.268197208999999,112.16440800000001,0.308526858,0.391485376,0.203253337,0.29810739,0.00020569799999999998,0.024876352999999997,0.0,0.07339083099999999,37.5507,127.135,35.038000000000004,0.5055,5438.163574,32.7
31.0,22.5,72.78609467,92.69016266,26.91269539,22.53530715,3.9815314410000004,50.17569931,0.41515691299999996,0.759758142,0.712936157,0.626849172,0.033601862999999996,0.142451512,0.440260589,0.0,37.5102,127.086,21.9668,0.1332,4954.191406,26.1
28.3,25.2,50.58155823,95.26472473,28.21226914,22.27032125,5.56742085,136.2467155,0.17332341,0.112364554,0.016781482,0.032930662,0.0,0.0,0.0,0.0,37.5776,126.838,12.37,0.0985,4671.15918,31.4
32.9,24.0,48.43025208,77.29355621,32.19132774,25.20112983,5.891059955,94.31329107,0.45508107,0.364805758,0.212338573,0.086893852,0.027427972999999998,0.0,0.0,0.0,37.5102,127.086,21.9668,0.1332,5615.230469,32.3
34.1,25.1,76.52720642,89.73492432,27.80358501,23.92325014,6.364086151,68.58490833,0.245654515,0.5437609179999999,0.743432317,0.533437969,0.0,0.0,0.7946707209999999,0.0,37.5102,127.086,21.9668,0.1332,5811.774414,29.1
28.3,23.2,61.44780731,86.20494079999999,31.6222717,26.07370472,7.033008774,7.421642532000001,0.408896785,0.528623718,0.47421888700000003,0.423611605,0.0,0.0,0.0,0.0,37.5507,127.04,26.298000000000002,0.5721,5703.385742,28.8
